,fluxes
EX_cpd11416_b,0.3408245415634745
EX_cpd00067_b,0.0
EX_cpd00033_b,0.0
EX_cpd00118_b,0.0
EX_cpd00129_b,0.0
EX_cpd00039_b,-0.10094969944293986
EX_cpd00276_b,0.0
EX_cpd00023_b,0.0
EX_cpd00367_b,0.0
EX_cpd00063_b,-0.0010553518952739593
EX_cpd00058_b,-0.0010553518952739593
EX_cpd00184_b,0.0
EX_cpd00314_b,0.0
EX_cpd00222_b,0.0
EX_cpd00051_b,-0.20892193935872472
EX_cpd00355_b,0.0
EX_cpd00100_b,0.006205785074975865
EX_cpd00009_b,-0.27674418604651607
EX_cpd00060_b,0.0
EX_cpd00438_b,0.0
EX_cpd00034_b,-0.0010553518952739593
EX_cpd10516_b,-0.0033138049511602322
EX_cpd00249_b,0.0
EX_cpd00119_b,-0.011616441467851768
EX_cpd00264_b,-0.00045380131496780253
EX_cpd00054_b,0.0
EX_cpd00644_b,0.0
EX_cpd00122_b,0.0
EX_cpd00035_b,0.0
EX_cpd00277_b,0.0
EX_cpd00254_b,-0.0010553518952739593
EX_cpd00205_b,-0.0010553518952739593
EX_cpd00305_b,-0.00045380131496780253
EX_cpd00065_b,0.0
EX_cpd00048_b,-0.07538876461999078
EX_cpd03847_b,-0.0219925017875337
EX_cpd00030_b,-0.0010553518952739593
EX_cpd00149_b,-0.0010553518952739593
EX_cpd00099_b,-0.0010553518952739593
EX_cpd00027_b,-0.493
EX_cpd00794_b,0.0
EX_cpd00226_b,-0.10622990976304228
EX_cpd00268_b,0.0
EX_cpd00069_b,-0.01768570583026864
EX_cpd00007_b,-0.7172414632644872
EX_cpd00092_b,-0.03033340179222247
EX_cpd01080_b,-0.012484152431530395
EX_cpd00066_b,-0.022645534771598662
EX_cpd00011_b,1.4694074562284558
EX_cpd00028_b,-0.0009076026299356051
EX_cpd00322_b,-0.03543667256766025
rxn02201_c0ksp,0.0
rxn00351_c0ksp,0.0
rxn00836_c0ksp,0.045678861198108066
rxn00390_c0ksp,0.0
rxn08180_c0ksp,0.0
rxn05318_c0ksp,0.0
rxn01094_c0ksp,0.0
rxn11567_c0ksp,0.0
rxn00423_c0ksp,0.0
rxn00364_c0ksp,0.0818409003407038
rxn05561_c0ksp,0.0
rxn03408_c0ksp,0.00366541696458895
rxn02177_c0ksp,0.0
rxn05250_c0ksp,0.0
rxn00646_c0ksp,0.0
rxn05440_c0ksp,0.012484152431530395
rxn00935_c0ksp,0.0
rxn01673_c0ksp,0.0
rxn00247_c0ksp,0.0
rxn02342_c0ksp,-0.05497200814292619
rxn00642_c0ksp,0.0
rxn00022_c0ksp,0.0
rxn00973_c0ksp,0.0
rxn03239_c0ksp,0.0
rxn00322_c0ksp,0.0
rxn05457_c0ksp,-0.0219925017875337
rxn04271_c0ksp,0.0
rxn13783_c0ksp,0.14655455287229405
rxn10118_c0ksp,0.0
rxn05392_c0ksp,0.012484152431530395
rxn12008_c0ksp,0.0013614039449034077
rxn04600_c0ksp,0.0
rxn04070_c0ksp,0.00045380131496780253
rxn00199_c0ksp,0.0
rxn01358_c0ksp,0.0
rxn10231_c0ksp,0.0
rxn02944_c0ksp,0.5082249274692563
rxn04648_c0ksp,0.0
rxn10270_c0ksp,0.0
rxn12637_c0ksp,0.0
rxn03046_c0ksp,0.0
rxn09240_c0ksp,-7.957050661265485
rxn01219_c0ksp,0.0
rxn05958_c0ksp,0.0
rxn00519_c0ksp,0.20696808310848905
rxn00258_c0ksp,0.20696808310848905
rxn00800_c0ksp,0.021217466088461482
rxn09177_c0ksp,0.000907602629935648
rxn00211_c0ksp,0.0
rxn00179_c0ksp,0.0
rxn01210_c0ksp,0.0
rxn00730_c0ksp,0.0
rxn00192_c0ksp,0.0
rxn01218_c0ksp,0.0
rxn05367_c0ksp,0.012484152431530395
rxn03360_c0ksp,0.0
rxn00509_c0ksp,0.0
rxn02898_c0ksp,0.0009076026299356051
rxn05654_c0ksp,0.0
rxn01199_c0ksp,0.0
rxn00545_c0ksp,-0.24525226358145902
rxn00771_c0ksp,0.0
rxn08807_c0ksp,0.0
rxn05614_c0ksp,0.0
rxn10344_c0ksp,0.0
rxn01547_c0ksp,-0.024461395109646584
rxn10336_c0ksp,0.0015605190539412994
rxn02320_c0ksp,0.0
rxn03384_c0ksp,0.0
rxn06208_c0ksp,0.0
rxn01405_c0ksp,0.0
rxn02504_c0ksp,0.0013614039449034217
rxn04082_c0ksp,0.0
rxn04996_c0ksp,0.0
rxn00262_c0ksp,0.0
rxn05404_c0ksp,0.012484152431530395
rxn02796_c0ksp,0.0
rxn10262_c0ksp,0.0
rxn10126_c0ksp,0.0
rxn10209_c0ksp,0.0
rxn00544_c0ksp,0.0
rxn10225_c0ksp,0.0
rxn03463_c0ksp,0.0
rxn01486_c0ksp,0.0013614039449034077
rxn00898_c0ksp,0.12002807730006045
rxn05444_c0ksp,0.012484152431530395
rxn10205_c0ksp,0.006242076215765197
rxn05040_c0ksp,0.0018152052598712101
rxn05400_c0ksp,0.012484152431530395
rxn00890_c0ksp,0.0
rxn05235_c0ksp,0.0
rxn02090_c0ksp,0.0
rxn05582_c0ksp,0.0
rxn08556_c0ksp,0.0
rxn01843_c0ksp,0.0
rxn00816_c0ksp,0.0
rxn02988_c0ksp,0.0009076026299354584
rxn04792_c0ksp,0.0
rxn01243_c0ksp,0.05497200814292619
rxn01021_c0ksp,0.0
rxn00165_c0ksp,0.0
rxn10228_c0ksp,0.0
rxn01117_c0ksp,-0.010996250893766851
rxn02610_c0ksp,0.0
rxn05814_c0ksp,0.0
rxn05542_c0ksp,0.0
rxn00539_c0ksp,0.0
rxn11726_c0ksp,0.0
rxn00678_c0ksp,0.0
rxn03667_c0ksp,0.0
rxn00001_c0ksp,0.38853181663304764
rxn01322_c0ksp,0.0
rxn09685_c0ksp,0.0
rxn01331_c0ksp,0.00045380131496780253
rxn05545_c0ksp,0.0
rxn07822_c0ksp,0.0
rxn11268_c0ksp,0.0
rxn00710_c0ksp,0.0
rxn01114_c0ksp,0.5193685876988086
rxn02305_c0ksp,0.0
rxn00470_c0ksp,0.6758388118204541
rxn05687_c0ksp,1.220218281835721
rxn02885_c0ksp,0.0
rxn08817_c0ksp,0.0
rxn01203_c0ksp,0.0
rxn00910_c0ksp,-0.02236029086397538
rxn00953_c0ksp,-0.01918368165920076
rxn11944_c0ksp,0.0
rxn08296_c0ksp,0.0
rxn05541_c0ksp,0.0
rxn00717_c0ksp,0.0
rxn05647_c0ksp,0.0
rxn01297_c0ksp,0.0
rxn10254_c0ksp,0.0
rxn05459_c0ksp,0.0
rxn05453_c0ksp,0.0
rxn01682_c0ksp,0.0
rxn08796_c0ksp,0.0
rxn08941_c0ksp,0.0
rxn14381_c0ksp,0.0
rxn03181_c0ksp,0.00366541696458895
rxn02586_c0ksp,0.0
rxn01604_c0ksp,0.0
rxn05036_c0ksp,0.0
rxn02331_c0ksp,0.010996250893766851
rxn06493_c0ksp,0.0
rxn12846_c0ksp,0.0
rxn00337_c0ksp,0.01918368165920076
