,fluxes
EX_cpd11416_b,0.30055468036568783
EX_cpd00067_b,-7.3259113893316306
EX_cpd00001_b,16.631098413218954
EX_cpd00058_b,-0.0014765240847659342
EX_cpd00013_b,-2.4068336437954185
EX_cpd00051_b,0.0657521166262984
EX_cpd00064_b,-0.0657521166262984
EX_cpd00100_b,-1.8902507999198115
EX_cpd00060_b,0.0
EX_cpd00034_b,-0.0014765240847659342
EX_cpd00027_b,0.0
EX_cpd00035_b,0.0
EX_cpd00117_b,0.0
EX_cpd00254_b,-0.0014765240847659342
EX_cpd00142_b,0.0
EX_cpd00159_b,0.0
EX_cpd00039_b,-0.09010164861657863
EX_cpd00009_b,-0.2925285561867058
EX_cpd00129_b,0.0
EX_cpd10516_b,-0.005906096339063737
EX_cpd00149_b,-0.0014765240847659342
EX_cpd00226_b,0.0
EX_cpd00048_b,-0.0663814179712652
EX_cpd00007_b,-0.006722658901092859
EX_cpd00011_b,0.0
EX_cpd00099_b,-0.0014765240847659342
EX_cpd00063_b,-0.0014765240847659342
EX_cpd00030_b,-0.0014765240847659342
EX_cpd00205_b,-0.0014765240847659342
rxn01734_c0ml,0.0
rxn02201_c0ml,0.0
rxn07431_c0ml,0.0
rxn00836_c0ml,0.0
rxn00390_c0ml,0.0
rxn08180_c0ml,0.0
rxn00423_c0ml,0.0
rxn00364_c0ml,0.10373646258194628
rxn03408_c0ml,0.004698157625470419
rxn05250_c0ml,0.0
rxn00935_c0ml,0.0
rxn01673_c0ml,0.0
rxn02342_c0ml,0.168313124147348
rxn01452_c0ml,0.0
rxn00022_c0ml,0.0
rxn00973_c0ml,0.0
rxn05667_c0ml,0.0
rxn03239_c0ml,0.0
rxn02632_c0ml,0.0
rxn05457_c0ml,-0.028188945752822513
rxn04271_c0ml,0.0
rxn13783_c0ml,0.1878466752285549
rxn10118_c0ml,0.0
rxn05392_c0ml,0.016001594500806553
rxn00199_c0ml,0.0017449830092688967
rxn01358_c0ml,-0.0060188598781242275
rxn03433_c0ml,0.0
rxn12637_c0ml,0.0
rxn09240_c0ml,-12.12564152599014
rxn01219_c0ml,0.0
rxn00519_c0ml,-1.3915507965264495
rxn00258_c0ml,-0.4844674069075958
rxn02121_c0ml,0.0
rxn09177_c0ml,0.0
rxn00211_c0ml,0.0
rxn00179_c0ml,0.08213491088706462
rxn02945_c0ml,0.0
rxn00587_c0ml,0.0
rxn01210_c0ml,0.0
rxn00730_c0ml,0.0
rxn00192_c0ml,0.0
rxn01218_c0ml,0.0
rxn05367_c0ml,0.016001594500806553
rxn00509_c0ml,0.0
rxn02898_c0ml,0.0011633220061792215
rxn00545_c0ml,0.0
rxn00771_c0ml,0.0
rxn05614_c0ml,0.0
rxn00501_c0ml,0.0
rxn10344_c0ml,0.0
rxn01547_c0ml,0.0
rxn02320_c0ml,0.0
rxn03384_c0ml,0.0
rxn02504_c0ml,0.0017449830092688967
rxn04996_c0ml,0.006443140634739243
rxn05404_c0ml,0.016001594500806553
rxn10262_c0ml,0.0
rxn10126_c0ml,0.0
rxn10225_c0ml,0.0
rxn01486_c0ml,0.0
rxn00898_c0ml,0.1538462969112901
rxn05040_c0ml,0.002326644012358443
rxn05400_c0ml,0.016001594500806553
rxn01636_c0ml,0.0
rxn02090_c0ml,0.0
rxn05505_c0ml,0.0
rxn01750_c0ml,0.0
rxn02988_c0ml,0.0011633220061791003
rxn01243_c0ml,0.0
rxn00165_c0ml,0.25423845136502854
rxn05814_c0ml,0.0
rxn00678_c0ml,0.0
rxn00001_c0ml,1.0182291048936296
rxn01331_c0ml,0.0
rxn06297_c0ml,0.0
rxn00671_c0ml,0.0
rxn11268_c0ml,0.0
rxn00710_c0ml,0.03887991579494685
rxn02305_c0ml,0.0005816610030896028
rxn00470_c0ml,0.0011633220061792215
rxn01203_c0ml,0.0
rxn00953_c0ml,0.0
rxn11944_c0ml,0.0
rxn02479_c0ml,0.0
rxn05459_c0ml,0.0
rxn05453_c0ml,0.0
rxn01682_c0ml,0.0
rxn02586_c0ml,0.0
rxn06493_c0ml,0.0
